Module Number,Module Name,Feature Number,Feature Name,Operation Code,Operation Description
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,ASSIGN_SECTION,Assign section to owner
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,LOCK_SECTION,Prevent edits to section
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,SUGGEST_CHANGE,Non-owners suggest changes
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,ACCEPT_SUGGESTION,Owner accepts suggested change
1,Policy Authoring & Collaboration,F1.3,Real-Time Collaboration,REJECT_SUGGESTION,Owner rejects suggested change
1,Policy Authoring & Collaboration,F1.4,AI-Powered Authoring Assistant,GENERATE_DRAFT,AI generates policy draft from prompt
1,Policy Authoring & Collaboration,F1.4,AI-Powered Authoring Assistant,CHECK_COMPLIANCE,Check policy against standards
1,Policy Authoring & Collaboration,F1.4,AI-Powered Authoring Assistant,IMPROVE_CLARITY,Get readability suggestions
1,Policy Authoring & Collaboration,F1.4,AI-Powered Authoring Assistant,CHECK_CONSISTENCY,Find inconsistent terminology
1,Policy Authoring & Collaboration,F1.4,AI-Powered Authoring Assistant,SUGGEST_STRUCTURE,Get structural improvements
1,Policy Authoring & Collaboration,F1.4,AI-Powered Authoring Assistant,ANALYZE_GAPS,Identify missing policies
1,Policy Authoring & Collaboration,F1.4,AI-Powered Authoring Assistant,EXPLAIN_SECTION,Get AI explanation of complex section
1,Policy Authoring & Collaboration,F1.4,AI-Powered Authoring Assistant,TRANSLATE_POLICY,Translate to another language
1,Policy Authoring & Collaboration,F1.5,Template Library & Content Snippets,BROWSE_TEMPLATES,Browse available templates
1,Policy Authoring & Collaboration,F1.5,Template Library & Content Snippets,PREVIEW_TEMPLATE,Preview template before using
1,Policy Authoring & Collaboration,F1.5,Template Library & Content Snippets,CREATE_FROM_TEMPLATE,Start policy from template
1,Policy Authoring & Collaboration,F1.5,Template Library & Content Snippets,SAVE_AS_TEMPLATE,Save current policy as template
1,Policy Authoring & Collaboration,F1.5,Template Library & Content Snippets,INSERT_SNIPPET,Insert reusable content block
1,Policy Authoring & Collaboration,F1.5,Template Library & Content Snippets,CREATE_SNIPPET,Create reusable content block
1,Policy Authoring & Collaboration,F1.5,Template Library & Content Snippets,MANAGE_SNIPPETS,Organize snippet library
1,Policy Authoring & Collaboration,F1.5,Template Library & Content Snippets,CREATE_POLICY_FAMILY,Create related policy bundle
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,UPLOAD_DOCUMENT,Upload existing policy file (PDF/Word/Doc)
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,PREVIEW_UPLOAD,Preview uploaded document
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,EXTRACT_TEXT,Extract text from document (OCR if needed)
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,PARSE_STRUCTURE,Identify sections and hierarchy
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,GENERATE_POLICY_CODE,Convert to structured format (Policy as Code)
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,REVIEW_EXTRACTION,Review AI-extracted content
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,EDIT_EXTRACTED_CONTENT,Modify extracted content
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,MAP_METADATA,Extract policy metadata (owner/dates/tags)
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,DETECT_VERSION,Check if policy already exists
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,APPROVE_EXTRACTION,Approve extracted policy
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,IMPORT_AS_POLICY,Create policy from extraction
1,Policy Authoring & Collaboration,F1.6,Document Import & Policy Extraction,BATCH_UPLOAD,Upload multiple policies at once
2,Approval Workflow Management,F2.1,Workflow Designer,CREATE_WORKFLOW,Create new approval workflow
2,Approval Workflow Management,F2.1,Workflow Designer,ADD_STEP,Add approval step to workflow
2,Approval Workflow Management,F2.1,Workflow Designer,CONFIGURE_APPROVER,Set who approves at this step
2,Approval Workflow Management,F2.1,Workflow Designer,SET_ROUTING,Define sequential vs parallel
2,Approval Workflow Management,F2.1,Workflow Designer,ADD_CONDITION,Add conditional logic (if/then)
2,Approval Workflow Management,F2.1,Workflow Designer,SET_SLA,Define approval time limit
2,Approval Workflow Management,F2.1,Workflow Designer,ADD_NOTIFICATION,Configure notification settings
2,Approval Workflow Management,F2.1,Workflow Designer,PREVIEW_WORKFLOW,Visualize workflow execution
2,Approval Workflow Management,F2.1,Workflow Designer,ACTIVATE_WORKFLOW,Make workflow active
2,Approval Workflow Management,F2.1,Workflow Designer,ASSIGN_WORKFLOW,Assign workflow to policy type
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,SUBMIT_FOR_APPROVAL,Start approval workflow
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,VIEW_STATUS,Check where policy is in workflow
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,APPROVE,Approve policy at current step
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,REJECT,Reject policy
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,REQUEST_CHANGES,Request specific changes
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,RECALL_SUBMISSION,Author recalls policy from workflow
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,VIEW_HISTORY,See workflow history
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,ESCALATE_MANUALLY,Manually escalate to manager
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,REASSIGN_APPROVER,Change approver for current step
2,Approval Workflow Management,F2.2,Workflow Execution & Tracking,SKIP_STEP,Admin skips workflow step
2,Approval Workflow Management,F2.3,Digital Signatures & Approval Certificates,SIGN_APPROVAL,Apply digital signature to approval
2,Approval Workflow Management,F2.3,Digital Signatures & Approval Certificates,VERIFY_SIGNATURE,Verify signature authenticity
2,Approval Workflow Management,F2.3,Digital Signatures & Approval Certificates,GENERATE_CERTIFICATE,Create approval certificate
2,Approval Workflow Management,F2.3,Digital Signatures & Approval Certificates,VIEW_CERTIFICATE,View approval certificate
2,Approval Workflow Management,F2.3,Digital Signatures & Approval Certificates,EXPORT_EVIDENCE,Export approval evidence for audit
2,Approval Workflow Management,F2.3,Digital Signatures & Approval Certificates,ADD_APPROVAL_NOTE,Add note to approval
2,Approval Workflow Management,F2.3,Digital Signatures & Approval Certificates,CONDITIONAL_APPROVAL,Approve with conditions
2,Approval Workflow Management,F2.4,Workflow Analytics & Bottleneck Detection,VIEW_WORKFLOW_HEALTH,See overview of workflow performance
2,Approval Workflow Management,F2.4,Workflow Analytics & Bottleneck Detection,IDENTIFY_BOTTLENECKS,Find workflow bottlenecks
2,Approval Workflow Management,F2.4,Workflow Analytics & Bottleneck Detection,TRACK_SLA_COMPLIANCE,Monitor SLA adherence
2,Approval Workflow Management,F2.4,Workflow Analytics & Bottleneck Detection,APPROVER_PERFORMANCE,See individual approver metrics
2,Approval Workflow Management,F2.4,Workflow Analytics & Bottleneck Detection,POLICY_JOURNEY,Track single policy through workflow
2,Approval Workflow Management,F2.4,Workflow Analytics & Bottleneck Detection,EXPORT_METRICS,Export workflow metrics
2,Approval Workflow Management,F2.4,Workflow Analytics & Bottleneck Detection,SET_ALERTS,Configure bottleneck alerts
3,Policy Distribution & Publishing,F3.1,Multi-Channel Distribution,PUBLISH_POLICY,Publish approved policy
3,Policy Distribution & Publishing,F3.1,Multi-Channel Distribution,SELECT_CHANNELS,Choose distribution channels
3,Policy Distribution & Publishing,F3.1,Multi-Channel Distribution,DEFINE_AUDIENCE,Specify target audience
3,Policy Distribution & Publishing,F3.1,Multi-Channel Distribution,SCHEDULE_DISTRIBUTION,Schedule future distribution
3,Policy Distribution & Publishing,F3.1,Multi-Channel Distribution,PREVIEW_NOTIFICATION,Preview how notification looks
3,Policy Distribution & Publishing,F3.1,Multi-Channel Distribution,TEST_SEND,Send test notification
3,Policy Distribution & Publishing,F3.1,Multi-Channel Distribution,TRACK_DELIVERY,Monitor distribution status
3,Policy Distribution & Publishing,F3.1,Multi-Channel Distribution,RESEND_NOTIFICATION,Resend to non-recipients
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,BROWSE_POLICIES,Browse all published policies
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,SEARCH_POLICIES,Search for specific policy
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,FILTER_BY_CATEGORY,Filter policies by category
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,FILTER_BY_DEPARTMENT,Show policies applicable to user's dept
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,VIEW_POLICY,Read policy content
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,DOWNLOAD_POLICY,Download policy as PDF
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,BOOKMARK_POLICY,Save policy to favorites
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,VIEW_RELATED_POLICIES,See related/linked policies
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,VIEW_VERSION_HISTORY,See previous versions
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,SUBSCRIBE_TO_UPDATES,Get notified of policy changes
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,SHARE_POLICY,Share policy link with colleague
3,Policy Distribution & Publishing,F3.2,Policy Repository & Portal,PRINT_POLICY,Print-friendly version
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,INITIATE_PUBLISH,Start publishing workflow
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,CONFIGURE_EFFECTIVE_DATE,Set when policy becomes active
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,SET_EXPIRATION_DATE,Set policy expiration/sunset date
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,CONFIGURE_STAGED_ROLLOUT,Publish to subset first
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,ENABLE_AB_TEST,Test two policy variations
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,PUBLISH_DRAFT,Publish as draft (preview mode)
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,ACTIVATE_POLICY,Make policy enforceable
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,SUPERSEDE_POLICY,Replace old version with new
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,ROLLBACK_PUBLISH,"Undo publication, revert to previous"
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,UNPUBLISH_POLICY,Remove from active status
3,Policy Distribution & Publishing,F3.3,Publishing Controls & Versioning,SCHEDULE_REVIEW,Schedule future review date
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,ARCHIVE_POLICY,Move policy to archived status
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,SET_RETENTION_PERIOD,Configure retention period
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,PLACE_LEGAL_HOLD,Prevent deletion for legal/audit purposes
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,RELEASE_LEGAL_HOLD,Remove legal hold
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,SCHEDULE_AUTO_ARCHIVE,Auto-archive on expiration date
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,SEARCH_ARCHIVED_POLICIES,Find archived policies
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,VIEW_ARCHIVED_POLICY,Read archived policy content
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,RESTORE_ARCHIVED_POLICY,Restore archived policy to active
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,EXPORT_ARCHIVE,Export archived policies in bulk
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,CONFIGURE_RETENTION_RULES,Set org-wide retention policies
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,VIEW_RETENTION_SCHEDULE,See upcoming deletions
3,Policy Distribution & Publishing,F3.4,Archive & Retention Management,PERMANENTLY_DELETE,Delete policy beyond recovery
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,VIEW_DISTRIBUTION_STATUS,See real-time distribution progress
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,TRACK_DELIVERY_RATE,Monitor notification delivery success
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,IDENTIFY_FAILED_DELIVERIES,See who didn't receive notification
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,VIEW_CHANNEL_PERFORMANCE,Compare channel effectiveness
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,TRACK_OPEN_RATE,See who opened notification
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,TRACK_CLICK_RATE,See who clicked through to policy
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,MEASURE_TIME_TO_ACKNOWLEDGE,Track acknowledgment velocity
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,IDENTIFY_NON_RESPONDERS,Find users who haven't engaged
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,EXPORT_DISTRIBUTION_REPORT,Generate distribution audit report
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,RETRY_FAILED_DELIVERY,Resend failed notifications
3,Policy Distribution & Publishing,F3.5,Distribution Analytics & Tracking,VIEW_GEOGRAPHIC_REACH,See distribution by location/timezone
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),CREATE_MEMO,Create new temporary policy amendment
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),SELECT_BASE_POLICY,Choose which policy to amend
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),DEFINE_TEMPORAL_SCOPE,Set start and end dates for memo
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),TARGET_DEPARTMENTS,Specify which departments/roles memo applies to
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),DEFINE_AMENDMENT,Set original rule vs temporary rule comparison
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),CONFIGURE_AUTO_EXPIRE,Enable/disable automatic expiry on end date
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),SELECT_APPROVER,Choose single approver for lightweight approval
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),SUBMIT_MEMO,Submit memo for approval
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),APPROVE_MEMO,Approve temporary amendment with digital signature
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),REJECT_MEMO,Reject memo with reason
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),EXTEND_MEMO,Extend memo duration (requires re-approval)
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),MAKE_PERMANENT,Convert memo to permanent policy change
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),END_MEMO_EARLY,Manually expire memo before end date
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),VIEW_ACTIVE_MEMOS,See all currently active memos
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),FILTER_MEMOS,Filter by status (active/expiring/expired)
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),VIEW_MEMO_DETAILS,See full memo information and amendment details
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),VIEW_EXPIRY_COUNTDOWN,See days/hours remaining until expiry
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),VIEW_EXPIRED_MEMOS,Browse historical expired memos
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),RECEIVE_EXPIRY_WARNING,Get notification before memo expires
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),VIEW_MEMO_ANALYTICS,See memo usage statistics and patterns
3,Policy Distribution & Publishing,F3.6,Policy Memos (Temporary Amendments),IDENTIFY_RECURRING_MEMOS,Find memos that repeat seasonally
4,Policy Adoption & Engagement,F4.1,Policy Acknowledgment Interface (Employee View),VIEW_PENDING_POLICIES,See policies requiring acknowledgment
4,Policy Adoption & Engagement,F4.1,Policy Acknowledgment Interface (Employee View),READ_POLICY,Read policy content
4,Policy Adoption & Engagement,F4.1,Policy Acknowledgment Interface (Employee View),CHOOSE_FORMAT,Select delivery format
4,Policy Adoption & Engagement,F4.1,Policy Acknowledgment Interface (Employee View),TAKE_QUIZ,Complete comprehension quiz
4,Policy Adoption & Engagement,F4.1,Policy Acknowledgment Interface (Employee View),ACKNOWLEDGE_POLICY,Submit acknowledgment
4,Policy Adoption & Engagement,F4.1,Policy Acknowledgment Interface (Employee View),ASK_QUESTION,Ask clarifying question
4,Policy Adoption & Engagement,F4.1,Policy Acknowledgment Interface (Employee View),BOOKMARK_POLICY,Save policy for quick access
4,Policy Adoption & Engagement,F4.1,Policy Acknowledgment Interface (Employee View),SHARE_FEEDBACK,Provide feedback on policy clarity
4,Policy Adoption & Engagement,F4.2,Gamification & Engagement Mechanics,EARN_POINTS,Earn points for acknowledgments
4,Policy Adoption & Engagement,F4.2,Gamification & Engagement Mechanics,EARN_BADGE,Unlock achievement badges
4,Policy Adoption & Engagement,F4.2,Gamification & Engagement Mechanics,VIEW_LEADERBOARD,See team rankings
4,Policy Adoption & Engagement,F4.2,Gamification & Engagement Mechanics,TRACK_STREAK,Maintain acknowledgment streak
4,Policy Adoption & Engagement,F4.2,Gamification & Engagement Mechanics,COMPARE_PEERS,Compare progress to team
4,Policy Adoption & Engagement,F4.2,Gamification & Engagement Mechanics,SHARE_ACHIEVEMENT,Share achievement on Slack/Teams
4,Policy Adoption & Engagement,F4.3,Manager Escalation & Tracking,VIEW_TEAM_STATUS,See team acknowledgment status
4,Policy Adoption & Engagement,F4.3,Manager Escalation & Tracking,SEND_REMINDER,Send reminder to non-acknowledgers
4,Policy Adoption & Engagement,F4.3,Manager Escalation & Tracking,EXPORT_REPORT,Export team compliance report
4,Policy Adoption & Engagement,F4.3,Manager Escalation & Tracking,SET_DEADLINE,Set team deadline for acknowledgment
4,Policy Adoption & Engagement,F4.3,Manager Escalation & Tracking,ESCALATE_TO_HR,Flag non-compliance to HR
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,CREATE_ONBOARDING_PACKAGE,Define policy package for new hires
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,ASSIGN_BY_ROLE,Auto-assign policies based on job role
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,ASSIGN_BY_DEPARTMENT,Auto-assign policies by department
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,SET_COMPLETION_SEQUENCE,Define order of policy acknowledgment
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,SET_ONBOARDING_DEADLINE,Set completion timeline for new hires
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,TRACK_ONBOARDING_PROGRESS,Monitor new hire policy completion
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,TRIGGER_ON_HIRE_DATE,Auto-start onboarding on hire date
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,SEND_WELCOME_PACKAGE,Send welcome email with policy overview
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,BLOCK_SYSTEM_ACCESS,Prevent system access until policies acknowledged
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,MANAGER_NOTIFICATION,Notify manager of completion status
4,Policy Adoption & Engagement,F4.4,Onboarding & New Hire Policy Packages,GENERATE_COMPLETION_REPORT,Report on onboarding compliance
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,UPLOAD_VIDEO_CONTENT,Add video explanation of policy
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,CREATE_INFOGRAPHIC,Create visual policy summary
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,BUILD_INTERACTIVE_MODULE,Create interactive learning module
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,CREATE_MICROLEARNING,Break policy into bite-sized lessons
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,SET_CONTENT_PREFERENCE,User chooses preferred format
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,TRACK_VIDEO_WATCH,Monitor video completion
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,ADD_VIDEO_CHECKPOINTS,Add comprehension checks in video
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,GENERATE_AUDIO_VERSION,Text-to-speech policy audio
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,CREATE_FLASHCARDS,Generate key points flashcards
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,ENABLE_CLOSED_CAPTIONS,Add captions to videos
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,TRACK_LEARNING_PATH,Monitor progress through modules
4,Policy Adoption & Engagement,F4.5,Multi-Modal Content & Micro-Learning,ADAPTIVE_CONTENT,Adjust difficulty based on performance
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,CREATE_SCENARIO,Build scenario simulation
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,ADD_DECISION_POINT,Add choice moment in scenario
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,LINK_TO_POLICY_SECTION,Reference relevant policy sections
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,SET_CORRECT_PATH,Define optimal decision path
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,START_SIMULATION,Begin scenario training
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,MAKE_DECISION,User chooses action in scenario
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,VIEW_POLICY_HINT,Get policy guidance during scenario
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,COMPLETE_SCENARIO,Finish scenario simulation
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,REVIEW_DECISIONS,See all choices made
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,RETRY_SCENARIO,Attempt scenario again
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,TRACK_SCENARIO_PERFORMANCE,Monitor scenario completion
4,Policy Adoption & Engagement,F4.6,Scenario-Based Training & Simulations,UNLOCK_ADVANCED_SCENARIOS,Progress to harder scenarios
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,CONFIGURE_RECERT_SCHEDULE,Set re-certification frequency
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,TRIGGER_RECERTIFICATION,Initiate re-cert cycle
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,IDENTIFY_CHANGED_POLICIES,Show what's new since last cert
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,ABBREVIATED_RECERT,Quick re-cert for unchanged policies
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,FULL_RECERT_REQUIRED,Require full review for major changes
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,SPOT_CHECK_KNOWLEDGE,Random knowledge checks
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,RISK_BASED_RECERT,Prioritize re-cert for high-risk users
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,SEASONAL_REFRESHERS,Time-based refreshers
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,TRACK_RECERT_COMPLIANCE,Monitor re-cert completion
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,GRACE_PERIOD_WARNING,Warn before access revocation
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,REVOKE_ACCESS,Block access for expired certs
4,Policy Adoption & Engagement,F4.7,Periodic Re-Certification & Continuous Compliance,CONTINUOUS_ASSESSMENT,Ongoing micro-assessments
5,Compliance Co-Pilot,F5.1,AI-Powered Policy Search & Retrieval,SEARCH_POLICIES,Search policy corpus
5,Compliance Co-Pilot,F5.1,AI-Powered Policy Search & Retrieval,ASK_QUESTION,Ask policy question
5,Compliance Co-Pilot,F5.1,AI-Powered Policy Search & Retrieval,FILTER_RESULTS,Filter by category/date/owner
5,Compliance Co-Pilot,F5.1,AI-Powered Policy Search & Retrieval,VIEW_FULL_POLICY,Open complete policy
5,Compliance Co-Pilot,F5.1,AI-Powered Policy Search & Retrieval,BOOKMARK_RESULT,Save search result
5,Compliance Co-Pilot,F5.1,AI-Powered Policy Search & Retrieval,SHARE_ANSWER,Share policy answer with colleague
5,Compliance Co-Pilot,F5.1,AI-Powered Policy Search & Retrieval,RATE_ANSWER,Provide feedback on answer quality
5,Compliance Co-Pilot,F5.1,AI-Powered Policy Search & Retrieval,VIEW_RELATED,See related policies
5,Compliance Co-Pilot,F5.2,Just-in-Time Guidance (Workflow Integration),TRIGGER_GUIDANCE,Trigger policy check in workflow
